date,trigger_title,trigger_description,category,severity,is_active,tags
2024-11-01,"Seeing others' LinkedIn updates","Feeling inadequate when classmates post internship updates or project achievements",social,4,true,"comparison,social_media,career_anxiety"
2024-11-01,"Messy room environment","Cluttered space makes me feel overwhelmed and unable to focus",environmental,3,true,"organization,focus,productivity"
2024-11-02,"Difficult coding problems","Getting stuck on programming challenges triggers self-doubt about abilities",emotional,4,true,"imposter_syndrome,coding,self_doubt"
2024-11-02,"Group project conflicts","When team members don't contribute equally, I feel frustrated and stressed",social,3,true,"teamwork,fairness,communication"
2024-11-03,"Procrastination spiral","Starting phone/social media leads to hours of wasted time and guilt",emotional,5,true,"time_management,social_media,guilt"
2024-11-03,"Public speaking situations","Being asked to present or speak up in class causes intense anxiety",social,4,true,"anxiety,presentation,confidence"
2024-11-04,"Perfectionist paralysis","Wanting everything perfect prevents me from starting projects",emotional,4,true,"perfectionism,productivity,fear"
2024-11-04,"Unhealthy food cravings","Stress eating when overwhelmed with coursework",physical,3,true,"stress_eating,health,coping"
2024-11-05,"Comparing coding skills","Watching others code faster or better makes me question my abilities",social,4,true,"comparison,coding,confidence"
2024-11-05,"Late night study pressure","Feeling like I need to study until very late to keep up",physical,3,true,"sleep,pressure,academics"
2024-11-06,"Imposter syndrome in tech","Feeling like I don't belong in computer science discussions",emotional,5,true,"imposter_syndrome,tech,belonging"
2024-11-06,"Financial stress from expenses","Worrying about money when seeing others spend freely",emotional,3,true,"money,anxiety,comparison"
2024-11-07,"Networking event anxiety","Large social gatherings for professional purposes feel overwhelming",social,4,true,"networking,anxiety,professional"
2024-11-07,"Rejection sensitivity","Fear of being judged or rejected when asking for help",emotional,4,true,"rejection,help_seeking,vulnerability"
2024-11-08,"Information overload","Too many learning resources and paths making me feel paralyzed",environmental,3,true,"learning,overwhelm,decision_making"
2024-11-08,"Sedentary lifestyle guilt","Feeling bad about lack of exercise but not knowing how to start",physical,3,true,"exercise,guilt,health"
2024-11-09,"Interview preparation anxiety","Thinking about future job interviews triggers panic",emotional,5,true,"interviews,career,anxiety"
